variable_name,text
disclaimer,"Disclaimer: These are test results from a research level testing protocol and do not necessarily indicate clinical results done at accredited hospital or lab environments. These are for your reference purposes only and should not be used to guide any therapy or treatment. If you have any doubts regarding your results, please contact your physician. These reports and results cannot be used for any medico-legal liability and your consent to participation is to accept these results in the form as it is whatsoever without any liability to CSIR, participating labs, IGIB and its lab members, project Principal Investigator and Co-Investigators and associated research staff. <br/>  <strong>*Note:</strong> The reference ranges for the interpretation of the results are based on the analysis of more than 2500 gut microbiome samples collected across India."
Note_Text,"<strong>*Note:</strong> The reference ranges for the interpretation of the results are based on the analysis of more than 2500 gut microbiome samples collected across India."
intro_text,"This report presents an analysis of the bacterial diversity and species abundance in your gut microbiome, based on stool sample metagenomic profiling. Our goal is to provide meaningful insights that help you better understand your gut health. The sequencing data was processed using a combination of bioinformatics tools and in-house report genearation pipeline to identify and characterize the microbial communities present. We hope this personalized insight empowers you to make more informed decisions about your health and lifestyle."
phylum_diversity_text,"Phylum diversity reflects the range of bacterial phyla found in your gut microbiome. Phyla are broad biological categories that group bacteria based on shared characteristics. In this report, we have assessed both the number and relative abundance of different bacterial phyla present in your gut."
phylum_diversity_result_high,"Your gut microbiome profile indicates good phylum diversity. The average range of phylum present in gut microbiome of Indian population is 3-15."
phylum_diversity_result_low,"Your gut microbiome profile indicates a low level of phylum diversity. The average range of phylum present in gut microbiome of Indian population is 3-15. Having a varied diet and healthy lifestyle choices will help you restore the diversity for promoting good health."
fb_ratio_Heading,"Firmicutes (F) and Bacteroidetes (B) are the most common bacterial phyla found in the gut microbiome. The ratio between the abundance of firmicutes and bacteroidetes is used to measure the relative proportion of these organisms. A balanced proportion (F/B ratio = 1) of these two phyla is vital for maintaining good health. A significant shift in the ratio, whether an increase or decrease, indicates the gut microbiome dysbiosis."
fb_ratio_Heading_type1,"Firmicutes (F) and Bacteroidetes (B) are the most common bacterial phyla found in the gut microbiome. The ratio between the abundance of Firmicutes and Bacteroidetes, known as the F/B ratio, is used to measure the relative proportion of these organisms. A balanced proportion (F/B ratio = 1) of these two phyla is vital for maintaining good health, while the majority of the Indian population typically falls within an F/B ratio range of approximately 0.69 to 4.41.*"
fb_ratio_intro_text,"Firmicutes and Bacteroidetes are two major bacterial phyla found in the human gut, and their relative abundance can vary significantly among individuals. These phyla play significant roles in digestion, metabolism, and overall gut health."
fb_ratio_result_high,"Your gut microbiome analysis reveals a high Firmicutes-to-Bacteroidetes ratio, indicating an imbalance in the relative abundance of these two major bacterial phyla. This imbalance may be associated with certain health conditions or dietary patterns. High levels of Firmicutes relative to Bacteroidetes have been linked to conditions such as obesity and metabolic syndrome like heart disease and type 2 diabetes. To address this imbalance and promote gut health, consider dietary changes aimed at reducing the abundance of Firmicutes, such as decreasing intake of high-fat and high-calorie foods."
fb_ratio_result_balanced,"Your gut microbiome analysis indicates an average Firmicutes-to-Bacteroidetes ratio, indicating a relatively balanced abundance of these two major bacterial phyla in your gut ecosystem. While this ratio falls within a typical range, it's essential to maintain balance to support optimal gut health. To preserve this balance and promote gut health, continue consuming a diverse and balanced diet rich in fiber, lean proteins, and healthy fats. Additionally, incorporating fermented foods and probiotics into your diet can help maintain microbial balance and diversity."
fb_ratio_result_low,"Your gut microbiome analysis indicates a low Firmicutes-to-Bacteroidetes ratio, suggesting an imbalance characterized by a higher abundance of Bacteroidetes relative to Firmicutes. While this imbalance is less common, it may also have implications for gut health and overall well-being. Low levels of Firmicutes relative to Bacteroidetes have been associated with certain gastrointestinal conditions and inflammatory disorders. To address this imbalance and support gut health, consider dietary changes aimed at promoting the growth of Firmicutes, such as increasing intake of resistant starches, fermented foods, and prebiotics."
evenness_intro_text,Evenness describes how uniformly all the species are present in your gut microbiome.
diversity_intro_text,Microbiome diversity is linked to your health through the variety and types of bacteria in your body. Diversity consists of two main components: richness and evenness.
evenness_result_high,"Your gut microbiome analysis indicates a high level of diversity evenness, meaning that the various species present in your gut are evenly distributed. This balanced distribution suggests a healthy and well-functioning gut ecosystem, where each species has a similar abundance. High evenness is associated with optimal gut function and resilience, contributing to better digestion, immune function, and overall health."
evenness_result_balanced,"Your gut microbiome analysis, we observe moderate diversity evenness, indicating a reasonably balanced distribution of species in your gut ecosystem. While not optimal, this level of evenness suggests that your gut microbiome is generally functioning well. To enhance evenness and promote gut health, consider incorporating a variety of fiber-rich foods, probiotics, and prebiotics into your diet. Additionally, adopting healthy lifestyle practices such as regular physical activity and stress management can help maintain and improve evenness."
evenness_result_low,"Your gut microbiome analysis reveals a low level of diversity evenness, suggesting an imbalance in the distribution of species in your gut ecosystem. This uneven distribution may contribute to gut health issues and other health concerns. To address this imbalance and promote evenness, focus on dietary changes that support microbial balance, such as increasing intake of fiber-rich foods, fermented foods, and probiotics. Additionally, reducing consumption of processed foods, sugars, and antibiotics, while managing stress levels, can help restore evenness and improve overall gut health."
probiotic_intro_text,"Probiotic species are beneficial microorganisms in the gut that play a vital role in supporting overall health. They aid digestion, strengthen the immune system, protect the intestinal lining, and help reduce inflammation. These microbes also foster a balanced gut environment that supports the growth of diverse microbial communities. Some probiotic species are known to produce Short Chain Fatty Acids (SCFAs)—compounds generated during the fermentation of dietary fiber. SCFAs enhance gut barrier integrity and exhibit anti-inflammatory and immune-regulating effects, contributing to better gut health and a reduced risk of gastrointestinal disorders."
fb_ratio_text_corrected,"What is F/B Ratio?<br/>1) High F/B ratio (F > B  or  F/B > 1) means a higher level of Firmicutes relative to Bacteroidetes.<br/>2) Balanced F/B ratio (F = B  or  F/B = 1) means maintaining a balance between Firmicutes and Bacteroidetes is associated with overall gut health.<br/>3) Low F/B ratio (F < B  or  F/B < 1) means a lower level of Firmicutes relative to Bacteroidetes."
Microbiome_Diversity_Index_High,"Your overall gut microbiome analysis indicates a high level of microbial diversity, which is a strong indicator of a healthy and well-balanced gut microbiome. This diversity plays a crucial role in various bodily functions, including effective digestion, nutrient absorption, maintaining a robust immune system and protect against harmful pathogens. To preserve and enhance this balance, it's important to continue nurturing your gut health through a varied, fiber-rich diet that includes foods such as fruits, vegetables, whole grains and fermented products. Additionally, lifestyle factors such as regular physical activity, adequate sleep, and stress management will help in maintaining gut health."
Microbiome_Diversity_Index_Average,"Your overall gut microbiome analysis indicates a healthy level of microbial diversity, indicating that your gut microbiome is functioning well. A diverse microbiome is essential for a range of vital processes, including efficient digestion, nutrient absorption, and protection against harmful pathogens. To preserve and enhance this balance, it's important to continue nurturing your gut health through a varied, fiber-rich diet that includes foods such as fruits, vegetables, whole grains and fermented products. Additionally, lifestyle factors such as regular physical activity, adequate sleep, and stress management will help in maintaining gut health.."
